,日期,站名,入站,出站
0,2020-01-01,基隆,7552,8154
1,2020-01-01,三坑,1020,1135
2,2020-01-01,八堵,1623,1972
3,2020-01-01,七堵,4130,4813
4,2020-01-01,百福,1818,2128
5,2020-01-01,五堵,1293,1453
6,2020-01-01,汐止,7817,9251
7,2020-01-01,汐科,5307,6020
8,2020-01-01,南港,10725,9562
9,2020-01-01,松山,14870,12208
10,2020-01-01,臺北,74444,57279
11,2020-01-01,萬華,3941,3827
12,2020-01-01,板橋,23186,21471
13,2020-01-01,浮洲,2216,2414
14,2020-01-01,樹林,13395,15180
15,2020-01-01,南樹林,984,1223
16,2020-01-01,山佳,1558,1780
17,2020-01-01,鶯歌,8314,9315
18,2020-01-01,桃園,29182,32516
19,2020-01-01,內壢,7684,9783
20,2020-01-01,中壢,29229,33242
21,2020-01-01,埔心,4717,5362
22,2020-01-01,楊梅,5114,5963
23,2020-01-01,富岡,1786,2019
24,2020-01-01,新富,80,107
25,2020-01-01,北湖,608,851
26,2020-01-01,湖口,3532,4159
27,2020-01-01,新豐,5808,7360
28,2020-01-01,竹北,4785,5296
29,2020-01-01,北新竹,1924,2015
30,2020-01-01,千甲,428,480
31,2020-01-01,新莊,1589,1949
32,2020-01-01,竹中,701,861
33,2020-01-01,六家,3505,2544
34,2020-01-01,上員,83,89
35,2020-01-01,榮華,645,163
36,2020-01-01,竹東,666,583
37,2020-01-01,橫山,114,137
38,2020-01-01,九讚頭,56,93
39,2020-01-01,合興,144,203
40,2020-01-01,富貴,21,518
41,2020-01-01,內灣,1294,1154
42,2020-01-01,新竹,25068,27375
43,2020-01-01,三姓橋,929,1041
44,2020-01-01,香山,593,669
45,2020-01-01,崎頂,215,283
46,2020-01-01,竹南,8516,9140
47,2020-01-01,談文,30,43
48,2020-01-01,大山,95,111
49,2020-01-01,後龍,1399,2000
50,2020-01-01,龍港,18,21
51,2020-01-01,白沙屯,633,654
52,2020-01-01,新埔,94,91
53,2020-01-01,通霄,802,841
54,2020-01-01,苑裡,1349,1549
55,2020-01-01,日南,302,308
56,2020-01-01,大甲,3516,3413
57,2020-01-01,臺中港,74,74
58,2020-01-01,清水,1121,1060
59,2020-01-01,沙鹿,2923,3151
60,2020-01-01,龍井,431,406
61,2020-01-01,大肚,755,693
62,2020-01-01,追分,3939,449
63,2020-01-01,造橋,278,294
64,2020-01-01,豐富,882,804
65,2020-01-01,苗栗,5454,6106
66,2020-01-01,南勢,100,124
67,2020-01-01,銅鑼,918,1062
68,2020-01-01,三義,802,837
69,2020-01-01,泰安,750,719
70,2020-01-01,后里,3827,3407
71,2020-01-01,豐原,9622,9591
72,2020-01-01,栗林,636,647
73,2020-01-01,潭子,2679,2971
74,2020-01-01,頭家厝,471,492
75,2020-01-01,松竹,1096,1070
76,2020-01-01,太原,3011,2903
77,2020-01-01,精武,1219,1281
78,2020-01-01,臺中,36979,34662
79,2020-01-01,五權,1278,1360
80,2020-01-01,大慶,2692,2634
81,2020-01-01,烏日,941,918
82,2020-01-01,新烏日,9416,8204
83,2020-01-01,成功,1013,4543
84,2020-01-01,彰化,15478,17570
85,2020-01-01,花壇,1321,1462
86,2020-01-01,大村,992,1093
87,2020-01-01,員林,8396,9287
88,2020-01-01,永靖,533,569
89,2020-01-01,社頭,1258,1207
90,2020-01-01,田中,2796,2655
91,2020-01-01,二水,1343,1219
92,2020-01-01,源泉,19,17
93,2020-01-01,濁水,206,191
94,2020-01-01,龍泉,14,37
95,2020-01-01,集集,780,766
96,2020-01-01,水里,191,154
97,2020-01-01,車埕,861,940
98,2020-01-01,林內,959,898
99,2020-01-01,石榴,219,268
100,2020-01-01,斗六,6556,7369
101,2020-01-01,斗南,2168,2285
102,2020-01-01,石龜,212,249
103,2020-01-01,大林,1626,2189
104,2020-01-01,民雄,2019,2548
105,2020-01-01,嘉北,764,787
106,2020-01-01,嘉義,12112,11891
107,2020-01-01,水上,773,886
108,2020-01-01,南靖,197,198
109,2020-01-01,後壁,571,548
110,2020-01-01,新營,4884,5363
111,2020-01-01,柳營,770,1075
112,2020-01-01,林鳳營,493,516
113,2020-01-01,隆田,1670,1771
114,2020-01-01,拔林,157,225
115,2020-01-01,善化,3491,3688
116,2020-01-01,南科,981,1122
117,2020-01-01,新市,2394,2777
118,2020-01-01,永康,5190,4283
119,2020-01-01,大橋,2947,3767
120,2020-01-01,臺南,30845,30978
121,2020-01-01,保安,2034,3993
122,2020-01-01,仁德,1006,1129
123,2020-01-01,中洲,380,509
124,2020-01-01,長榮大學,701,1139
125,2020-01-01,沙崙,2787,2493
126,2020-01-01,大湖,1596,2142
127,2020-01-01,路竹,1847,2113
128,2020-01-01,岡山,3149,3433
129,2020-01-01,橋頭,1803,1670
130,2020-01-01,楠梓,2586,2618
131,2020-01-01,新左營,12669,11500
132,2020-01-01,左營,873,859
133,2020-01-01,內惟,705,728
134,2020-01-01,美術館,928,961
135,2020-01-01,鼓山,217,281
136,2020-01-01,三塊厝,473,471
137,2020-01-01,高雄,21694,16515
138,2020-01-01,民族,641,537
139,2020-01-01,科工館,1015,1052
140,2020-01-01,正義,1059,1031
141,2020-01-01,鳳山,5054,4985
142,2020-01-01,後庄,681,716
143,2020-01-01,九曲堂,1344,1470
144,2020-01-01,六塊厝,83,128
145,2020-01-01,屏東,11064,12267
146,2020-01-01,歸來,227,264
147,2020-01-01,麟洛,126,200
148,2020-01-01,西勢,653,684
149,2020-01-01,竹田,449,474
150,2020-01-01,潮州,4126,4048
151,2020-01-01,崁頂,59,75
152,2020-01-01,南州,465,618
153,2020-01-01,鎮安,5,11
154,2020-01-01,林邊,400,358
155,2020-01-01,佳冬,138,108
156,2020-01-01,東海,60,145
157,2020-01-01,枋寮,1298,1235
158,2020-01-01,加祿,103,3
159,2020-01-01,內獅,0,1
160,2020-01-01,枋山,0,3
161,2020-01-01,大武,186,208
162,2020-01-01,瀧溪,25,13
163,2020-01-01,金崙,598,504
164,2020-01-01,太麻里,258,154
165,2020-01-01,知本,745,584
166,2020-01-01,康樂,7,12
167,2020-01-01,臺東,6227,4374
168,2020-01-01,山里,3,3
169,2020-01-01,鹿野,201,120
170,2020-01-01,瑞源,27,19
171,2020-01-01,瑞和,6,10
172,2020-01-01,關山,496,456
173,2020-01-01,海端,3,1
174,2020-01-01,池上,582,469
175,2020-01-01,富里,221,128
176,2020-01-01,東竹,2,1
177,2020-01-01,東里,14,5
178,2020-01-01,玉里,996,1141
179,2020-01-01,三民,7,9
180,2020-01-01,瑞穗,624,510
181,2020-01-01,富源,40,34
182,2020-01-01,大富,3,3
183,2020-01-01,光復,428,438
184,2020-01-01,萬榮,52,64
185,2020-01-01,鳳林,338,289
186,2020-01-01,南平,23,20
187,2020-01-01,林榮新光,39,22
188,2020-01-01,豐田,48,53
189,2020-01-01,壽豐,215,275
190,2020-01-01,平和,19,26
191,2020-01-01,志學,214,460
192,2020-01-01,吉安,404,344
193,2020-01-01,花蓮,13822,11744
194,2020-01-01,北埔,166,134
195,2020-01-01,景美,5,22
196,2020-01-01,新城,1442,1081
197,2020-01-01,崇德,28,30
198,2020-01-01,和仁,46,58
199,2020-01-01,和平,716,772
200,2020-01-01,漢本,33,36
201,2020-01-01,武塔,29,22
202,2020-01-01,南澳,785,807
203,2020-01-01,東澳,183,127
204,2020-01-01,永樂,5,4
205,2020-01-01,蘇澳,480,592
206,2020-01-01,蘇澳新,790,1611
207,2020-01-01,新馬,19,23
208,2020-01-01,冬山,532,529
209,2020-01-01,羅東,6840,5725
210,2020-01-01,中里,1,3
211,2020-01-01,二結,135,158
212,2020-01-01,宜蘭,6035,5230
213,2020-01-01,四城,85,101
214,2020-01-01,礁溪,3371,2807
215,2020-01-01,頂埔,72,60
216,2020-01-01,頭城,1198,1222
217,2020-01-01,外澳,200,118
218,2020-01-01,龜山,77,73
219,2020-01-01,大溪,196,222
220,2020-01-01,大里,237,152
221,2020-01-01,石城,24,35
222,2020-01-01,福隆,1234,1099
223,2020-01-01,貢寮,137,160
224,2020-01-01,雙溪,614,700
225,2020-01-01,牡丹,90,120
226,2020-01-01,三貂嶺,97,126
227,2020-01-01,大華,17,18
228,2020-01-01,十分,2128,2277
229,2020-01-01,望古,13,20
230,2020-01-01,嶺腳,30,20
231,2020-01-01,平溪,475,491
232,2020-01-01,菁桐,704,630
233,2020-01-01,猴硐,1021,1012
234,2020-01-01,瑞芳,5973,7075
235,2020-01-01,海科館,229,228
236,2020-01-01,八斗子,268,307
237,2020-01-01,四腳亭,457,518
238,2020-01-01,暖暖,231,263
